Data Provider,The Paleobiology Database,,,,,,,,,,,,,,,
Data Source,The Paleobiology Database,,,,,,,,,,,,,,,
Data License,Creative Commons CC-BY,,,,,,,,,,,,,,,
License URL,http://creativecommons.org/licenses/by/4.0/,,,,,,,,,,,,,,,
Documentation URL,http://paleobiodb.org/data1.2/occs/list_doc.html,,,,,,,,,,,,,,,
Data URL,http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Chelonioidea&taxon_reso=species&ident=all,,,,,,,,,,,,,,,
Access Time,Wed 2022-02-23 23:52:35 GMT,,,,,,,,,,,,,,,
Title,PBDB Data Service,,,,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,,,,
,base_name,Chelonioidea,,,,,,,,,,,,,,
,idreso,species,,,,,,,,,,,,,,
,idtype,all,,,,,,,,,,,,,,
,timerule,major,,,,,,,,,,,,,,
,taxon_status,all,,,,,,,,,,,,,,
Elapsed Time,0.0284,,,,,,,,,,,,,,,
Records Found,247,,,,,,,,,,,,,,,
Records Returned,247,,,,,,,,,,,,,,,
Records:,,,,,,,,,,,,,,,,
occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no
150871,occ,,,13449,Miocaretta lankae,species,86857,,Miocaretta lankae,species,86857,Miocene,,23.03,5.333,6063
213025,occ,,,21688,Caretta caretta,species,173404,,Caretta caretta,species,173403,Holocene,,0.0117,0,4789
213027,occ,,,21688,Chelonia mydas,species,173399,,Chelonia mydas,species,173398,Holocene,,0.0117,0,4789
213028,occ,,,21688,Eretmochelys imbricata,species,173402,,Eretmochelys imbricata,species,173401,Holocene,,0.0117,0,4789
213029,occ,,,21688,Dermochelys coriacea,species,365634,,Dermochelys coriacea,species,364840,Holocene,,0.0117,0,4789
229968,occ,,R,23367,Lophochelys niobrarae,species,128353,,Lophochelys niobrarae,species,128353,Late Campanian,,83.5,70.6,735
287830,occ,,,15595,Puppigerus camperi,species,313940,,Puppigerus camperi,species,313939,Wasatchian,,55.8,50.3,812
287831,occ,,,15595,cf. Eosphargis gigas,species,63142,,Eosphargis gigas,species,235098,Wasatchian,,55.8,50.3,812
287845,occ,13587,,20400,cf. Caretta caretta,species,173404,,Caretta caretta,species,173403,Irvingtonian,,1.8,0.3,769
290540,occ,,,27727,Desmatochelys cf. lowi,species,393402,"misspelling of, obsolete variant of",Desmatochelys lowii,species,173417,Late Santonian,,85.8,83.5,738
290541,occ,,,27728,Desmatochelys ? lowi,species,393402,"misspelling of, obsolete variant of",Desmatochelys lowii,species,173417,Late Santonian,,85.8,83.5,7623
296469,occ,,,28368,Peritresius n. sp. virginianus,species,83313,subjective synonym of,Syllomus aegyptiacus,species,83307,Langhian,,15.97,13.82,34382
296470,occ,,,28368,Syllomus crispatus,species,63978,,Syllomus crispatus,species,63978,Langhian,,15.97,13.82,7804
361702,occ,,,34269,Caretta caretta,species,173404,,Caretta caretta,species,173403,Late Pleistocene,,0.126,0.0117,9009
361703,occ,,,34269,Chelonia mydas,species,173399,,Chelonia mydas,species,173398,Late Pleistocene,,0.126,0.0117,9009
388727,occ,26315,,37182,n. gen. Arabemys n. sp. crassiscutata,species,80840,,Arabemys crassiscutata,species,80840,Late Paleocene,Early Eocene,58.7,48.6,17285
408785,occ,,,13299,n. gen. Anglocetus n. sp. beatsoni,species,57633,subjective synonym of,Eosphargis gigas,species,235098,Ypresian,,56,47.8,10630
410288,occ,,,39582,Tasbacka aldabergeni,species,264912,,Tasbacka aldabergeni,species,264912,Paleogene,,66,23.03,10705
465610,occ,,,46085,Puppigerus cf. crassicostatus,species,342725,recombined as,Puppigerus crassicostata,species,235265,Early Eocene,,55.8,48.6,12182
465636,occ,,,46092,Chelyopsis ? holsaticus,species,358387,,Chelyopsis holsaticus,species,358387,Early Oligocene,,33.9,28.4,12298
501848,occ,,,18587,Chelone n. sp. grandaevus,species,98331,recombined as,Puppigerus grandaevus,species,98331,Burdigalian,,20.44,15.97,12192
537395,occ,,,14149,Miocaretta lankae,species,86857,,Miocaretta lankae,species,86857,Langhian,,15.97,13.82,15040
558954,occ,,,58089,Caretta caretta,species,173404,,Caretta caretta,species,173403,Irvingtonian,,1.8,0.3,15601
572713,occ,,,59059,Euclastes n. sp. hutchisoni,species,80838,"misspelling of, recombined as",Pacifichelys hutchisoni,species,80838,Langhian,,15.97,13.82,17284
592561,occ,,,62734,n. gen. Nichollsemys n. sp. baieri,species,83033,,Nichollsemys baieri,species,83033,Late Campanian,,83.5,70.6,18093
593731,occ,,,52582,Caretta patriciae,species,83305,,Caretta patriciae,species,83305,Zanclean,,5.333,3.6,18131
593735,occ,,,52582,Syllomus aegyptiacus,species,83307,,Syllomus aegyptiacus,species,83307,Zanclean,,5.333,3.6,18131
627903,occ,,,67712,n. gen. Santanachelys n. sp. gaffneyi,species,90355,,Santanachelys gaffneyi,species,90355,Early Albian,,112.03,109,19353
666784,occ,,,71797,Syllomus aegyptiacus,species,83307,,Syllomus aegyptiacus,species,83307,Langhian,,15.97,13.82,24251
666869,occ,23575,,70827,Peritresius virginianus,species,83313,subjective synonym of,Syllomus aegyptiacus,species,83307,Langhian,,15.97,13.82,34382
741170,occ,,,79700,Thalassochelys libyca,species,86275,,Thalassochelys libyca,species,86275,Priabonian,,38,33.9,26772
767568,occ,,,81927,Protostega n. sp. dixie,species,125120,subjective synonym of,Protostega gigas,species,96952,Late Santonian,Early Campanian,85.8,70.6,786
767569,occ,,,81930,Protostega dixie,species,125120,subjective synonym of,Protostega gigas,species,96952,Late Santonian,Early Campanian,85.8,70.6,786
767570,occ,,R,81931,Protostega dixie,species,125120,subjective synonym of,Protostega gigas,species,96952,Late Santonian,Early Campanian,85.8,70.6,786
767570,occ,27054,,81931,Protostega gigas,species,96952,,Protostega gigas,species,96952,Late Santonian,Early Campanian,85.8,70.6,42113
