Data Provider,The Paleobiology Database,,,,,,,
Data Source,The Paleobiology Database,,,,,,,
Data License,Creative Commons CC-BY,,,,,,,
License URL,http://creativecommons.org/licenses/by/4.0/,,,,,,,
Documentation URL,http://paleobiodb.org/data1.2/specs/measurements_doc.html,,,,,,,
Data URL,http://paleobiodb.org/data1.2/specs/measurements.csv?datainfo&rowcount&base_name=Elephantidae&taxon_reso=species&ident=all,,,,,,,
Access Time,Wed 2022-02-23 05:52:04 GMT,,,,,,,
Title,PBDB Data Service,,,,,,,
Parameters:,,,,,,,,
,base_name,Elephantidae,,,,,,
,idreso,species,,,,,,
,idtype,all,,,,,,
,timerule,major,,,,,,
,taxon_status,all,,,,,,
Elapsed Time,0.0073,,,,,,,
Records Found,170,,,,,,,
Records Returned,170,,,,,,,
Records:,,,,,,,,
measurement_no,specimen_no,record_type,n_measured,position,measurement_type,average,min,max
3809,1905,mea,1,,length,191,,
3810,1905,mea,1,,width,79.5,,
3811,1906,mea,1,,length,222,,
3812,1906,mea,1,,width,93,,
5801,2901,mea,1,,length,210,,
5802,2901,mea,1,,width,74,,
27778,13870,mea,1,,length,187,,
27779,13870,mea,1,,width,81,,
27780,13870,mea,1,,height,137,,
27781,13871,mea,1,,length,240,,
27782,13871,mea,1,,width,85,,
27783,13871,mea,1,,height,228,,
27784,13872,mea,1,,length,199.5,,
27785,13872,mea,1,,width,79,,
27786,13873,mea,1,,length,245,,
27787,13873,mea,1,,width,86,,
27788,13873,mea,1,,height,145,,
34954,17927,mea,1,,width,79.5,,
34955,17927,mea,1,,length,196,,
36920,19090,mea,1,,width,88,,
36921,19090,mea,1,,length,320,,
36922,19091,mea,1,,width,79,,
36923,19091,mea,1,,length,290,,
36924,19092,mea,1,,width,619.5,,
36925,19092,mea,1,,length,902.5,,
36926,19093,mea,1,,width,114,,
36927,19093,mea,1,,length,1102.5,,
36928,19094,mea,1,,width,156,,
36929,19094,mea,1,,length,1252.5,,
36930,19095,mea,1,,length,687.5,,
36931,19096,mea,1,,width,99,,
36932,19096,mea,1,,length,320,,
36933,19097,mea,1,,width,92,,
36934,19097,mea,1,,length,292,,
36935,19098,mea,1,,width,125,,
36936,19098,mea,1,,length,1141.5,,
36937,19099,mea,1,,length,750,,
36938,19100,mea,1,,width,144,,
36939,19100,mea,1,,length,1230,,
36940,19101,mea,1,,length,691.5,,
36941,19102,mea,1,,width,99,,
36942,19102,mea,1,,length,273,,
36943,19103,mea,1,,width,90,,
36944,19103,mea,1,,length,355,,
36945,19104,mea,1,,width,128,,
36946,19104,mea,1,,length,1185,,
36947,19105,mea,1,,length,278,,
36951,19105,mea,1,,width,106,,
36948,19106,mea,1,,width,154,,
36949,19106,mea,1,,length,1393,,
36950,19107,mea,1,,length,312,,
36952,19107,mea,1,,width,92,,
36953,19108,mea,1,,width,91,,
36954,19108,mea,1,,length,288,,
36955,19109,mea,1,,width,83,,
36956,19109,mea,1,,length,333,,
40866,21496,mea,1,,width,90,,
40867,21496,mea,1,,length,220,,
114984,57761,mea,1,,length,435,,
114985,57762,mea,1,,length,690,,
114986,57763,mea,1,,length,844,,
114987,57764,mea,1,,length,990,,
114988,57765,mea,1,,length,625,,
114989,57766,mea,1,,length,1008,,
114990,57767,mea,1,,length,773,,
114991,57768,mea,1,,length,923,,
114992,57769,mea,1,,length,966,,
114993,57770,mea,1,,length,808,,
114994,57771,mea,1,,length,956,,
114995,57772,mea,1,,length,919,,
114996,57773,mea,1,,length,624,,
114997,57774,mea,1,,length,934,,
114998,57775,mea,1,,length,1000,,
114999,57776,mea,1,,length,433,,
115000,57777,mea,1,,length,445,,
115001,57778,mea,1,,length,442,,
115002,57779,mea,1,,length,328,,
115003,57780,mea,1,,length,648,,
115004,57781,mea,1,,length,377,,
115005,57782,mea,1,,length,269,,
115006,57783,mea,1,,length,157,,
115007,57784,mea,1,,length,195,,
115008,57785,mea,1,,length,149,,
115009,57786,mea,1,,length,277,,
115010,57787,mea,1,,length,544,,
115011,57788,mea,1,,length,645,,
115012,57789,mea,1,,length,618,,
115013,57790,mea,1,,length,535,,
115014,57791,mea,1,,length,838,,
115015,57792,mea,1,,length,554,,
115016,57793,mea,1,,length,627,,
115017,57794,mea,1,,length,650,,
115018,57795,mea,1,,length,521,,
115019,57796,mea,1,,length,825,,
115020,57797,mea,1,,length,711,,
115021,57798,mea,1,,length,722,,
115022,57799,mea,1,,length,680,,
115023,57800,mea,1,,length,542,,
115024,57801,mea,1,,length,607,,
115025,57802,mea,1,,length,642,,
115026,57803,mea,1,,length,492,,
115027,57804,mea,1,,length,802,,
115028,57805,mea,1,,length,752,,
115029,57806,mea,1,,length,936,,
115030,57807,mea,1,,length,890,,
115031,57808,mea,1,,length,697,,
115032,57809,mea,1,,length,1142,,
115033,57810,mea,1,,length,701,,
115034,57811,mea,1,,length,806,,
115035,57812,mea,1,,length,877,,
115036,57813,mea,1,,length,654,,
115037,57814,mea,1,,length,1048,,
116573,58673,mea,30,,mass,3642000,,
116574,58674,mea,9,,mass,2636000,,
116579,58679,mea,1,,mass,6004100,,
124066,62987,mea,1,,length,860,,
124067,62987,mea,1,midshaft,diameter,84,,
124068,62988,mea,1,,length,680,,
124069,62988,mea,1,midshaft,diameter,62,,
124070,62989,mea,1,,length,800,,
124071,62990,mea,1,,length,1070,,
124072,62990,mea,1,midshaft,diameter,86.7,,
124073,62991,mea,1,,length,590,,
124074,62991,mea,1,midshaft,diameter,79.1,,
124217,63055,mea,1,zygomatic,width,525,,
124218,63055,mea,1,basal,length,600,,
124219,63056,mea,1,zygomatic,width,476,,
124220,63056,mea,1,basal,length,560,,
124221,63057,mea,1,,length,510,,
124222,63058,mea,1,,length,660,,
124223,63059,mea,1,,length,570,,
124224,63060,mea,1,,length,590,,
124225,63061,mea,1,,length,810,,
124226,63062,mea,1,,length,480,,
